005B7FC1-325D-4F76-8505-C52C144668A2#appfire#28DADA0C-C5DF-47B4-9891-9C35C28753EC#appfire#last5Passwords#appfire#VARCHAR#appfire#500#appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"Last Password","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","Widgets":"textareafield","WidgetDisplayName":"TextAreaField","MinValue":"0","MaxValue":"5120","ErrorMessage":"","Finders":"false","Name":"last5Passwords"}#appfire#LA4IF7EAM31HVZ7VFOEC0G#appfire#EFB6696D-A332-4E61-9F38-2A01E4E690FE#appfire#1#appfire#0#appfire#2015-12-20 03:32:51#appfire#0#appfire#2015-12-20 03:32:51#appfire#0#appfire#1#appfire#7#appfire##appfire##appfire#0#appfire#1
0091363E-FC01-42D4-8C90-90813B318A5C#appfire#7E17A0C4-45CE-4E81-A38F-2124DB860B4E#appfire#createdDate#appfire#DATETIME#appfire##appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire#1900-01-01#appfire#1#appfire#column seq#appfire#{"DisplayName":"createdDate","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"datefield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"createdDate"}#appfire#LA4IF7EAM31HVZ7VFOEC0G#appfire#EFB6696D-A332-4E61-9F38-2A01E4E690FE#appfire#1#appfire#0#appfire#2015-12-20 03:32:51#appfire#0#appfire#2015-12-20 03:32:51#appfire#0#appfire#1#appfire#12#appfire##appfire##appfire#0#appfire#1
011A8677-D9F2-43AE-8818-45D5546CE84C#appfire#0394578E-C94E-4E49-BC81-DEDC0E15A36D#appfire#txnAccessCode#appfire#INT#appfire##appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#1#appfire#column seq#appfire#{"DisplayName":"txnAccessCode","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"textfield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"txnAccessCode"}#appfire#LA4IF7EAM31HVZ7VFOEC0G#appfire#EFB6696D-A332-4E61-9F38-2A01E4E690FE#appfire#1#appfire#0#appfire#2015-12-20 03:32:51#appfire#0#appfire#2015-12-20 03:32:51#appfire#0#appfire#1#appfire#15#appfire##appfire##appfire#0#appfire#1
013A04F8-0130-468B-9F69-F4A391A1C17D#appfire#09B30FAA-C302-46BF-A9F6-1DDFE676D468#appfire#updatedBy#appfire#VARCHAR#appfire#64#appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire#-1#appfire#1#appfire#column seq#appfire#{"DisplayName":"updatedBy","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"textfield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"updatedBy"}#appfire#LA4IF7EAM31HVZ7VFOEC0G#appfire#EFB6696D-A332-4E61-9F38-2A01E4E690FE#appfire#1#appfire#0#appfire#2015-12-20 03:32:51#appfire#0#appfire#2015-12-20 03:32:51#appfire#0#appfire#1#appfire#5#appfire##appfire##appfire#0#appfire#1
02033315-5F67-46EB-80B3-8FD750595263#appfire#2101B404-61CD-4C1D-B645-D0F696B56FE2#appfire#addExtId#appfire#VARCHAR#appfire#64#appfire#1#appfire#0#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"Address Extended Id","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","Widgets":"textfield","WidgetDisplayName":"TextField","MinValue":"0","MaxValue":"64","ErrorMessage":"","Finders":"false","Name":"addExtId"}#appfire#LA4IF7EAM31HVZ7VFOEC0G#appfire#EFB6696D-A332-4E61-9F38-2A01E4E690FE#appfire#1#appfire#0#appfire#2015-12-20 03:32:51#appfire#0#appfire#2015-12-20 03:32:51#appfire#0#appfire#1#appfire#1#appfire##appfire##appfire#0#appfire#1
025A7514-9448-4EB1-B5E9-14534B7DC82E#appfire#F9901842-711D-4EC5-A2BC-78EEFE9B2699#appfire#menuId#appfire#VARCHAR#appfire#64#appfire#1#appfire#0#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"Menu Id","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","Widgets":"textfield","WidgetDisplayName":"TextField","MinValue":"3","MaxValue":"64","ErrorMessage":"","Finders":"false","Name":"menuId"}#appfire#LA4IF7EAM31HVZ7VFOEC0G#appfire#EFB6696D-A332-4E61-9F38-2A01E4E690FE#appfire#1#appfire#0#appfire#2015-12-20 03:32:51#appfire#0#appfire#2015-12-20 03:32:51#appfire#0#appfire#1#appfire#1#appfire##appfire##appfire#0#appfire#1
02A921E5-9C06-4BF0-9231-544D49A4AD09#appfire#73FB9B32-2CBE-4DC4-AC71-91774318646F#appfire#maxPwdLength#appfire#INT#appfire#11#appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"maxPwdLength","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","Widgets":"numberfield","WidgetDisplayName":"NumberField","MinValue":"0","MaxValue":"32","ErrorMessage":"","Finders":"false","Name":"maxPwdLength"}#appfire#LA4IF7EAM31HVZ7VFOEC0G#appfire#EFB6696D-A332-4E61-9F38-2A01E4E690FE#appfire#1#appfire#0#appfire#2015-12-20 03:32:51#appfire#0#appfire#2015-12-20 03:32:51#appfire#0#appfire#1#appfire#4#appfire##appfire##appfire#0#appfire#1
0353D411-E72A-4447-BDD2-DE90E5FF5E37#appfire#AE38047A-D732-41DD-8878-FCD87ADC274C#appfire#activeStatus#appfire#INT#appfire#1#appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire#1#appfire#1#appfire#column seq#appfire#{"DisplayName":"activeStatus","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"numberfield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"activeStatus"}#appfire#LA4IF7EAM31HVZ7VFOEC0G#appfire#EFB6696D-A332-4E61-9F38-2A01E4E690FE#appfire#1#appfire#0#appfire#2015-12-20 03:32:51#appfire#0#appfire#2015-12-20 03:32:51#appfire#0#appfire#1#appfire#18#appfire##appfire##appfire#0#appfire#1
044D1D9D-F007-4283-BC6A-7DD0B871BF74#appfire#2101B404-61CD-4C1D-B645-D0F696B56FE2#appfire#updatedDate#appfire#DATETIME#appfire##appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire#1900-01-01#appfire#1#appfire#column seq#appfire#{"DisplayName":"updatedDate","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"datefield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"updatedDate"}#appfire#LA4IF7EAM31HVZ7VFOEC0G#appfire#EFB6696D-A332-4E61-9F38-2A01E4E690FE#appfire#1#appfire#0#appfire#2015-12-20 03:32:51#appfire#0#appfire#2015-12-20 03:32:51#appfire#0#appfire#1#appfire#12#appfire##appfire##appfire#0#appfire#1
05479F3F-9315-4A7A-A21F-2A7A76EF837A#appfire#E993D19E-546A-4579-BE99-4586E284352B#appfire#updatedDate#appfire#DATETIME#appfire##appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire#1900-01-01#appfire#1#appfire#column seq#appfire#{"DisplayName":"updatedDate","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"datefield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"updatedDate"}#appfire#LA4IF7EAM31HVZ7VFOEC0G#appfire#EFB6696D-A332-4E61-9F38-2A01E4E690FE#appfire#1#appfire#0#appfire#2015-12-20 03:32:51#appfire#0#appfire#2015-12-20 03:32:51#appfire#0#appfire#1#appfire#9#appfire##appfire##appfire#0#appfire#1
